Year,Geo_Level,State_ANSI,Commodity_ID,Value
2006,STATE,16,2,4180000.00
2006,STATE,17,2,660000.00
2006,STATE,18,2,378000.00
2006,STATE,19,2,2184000.00
2006,STATE,20,2,770000.00
2006,STATE,21,2,280000.00
2006,STATE,22,2,2700000.00
2006,STATE,23,2,253000.00
2006,STATE,26,2,3960000.00
2006,STATE,27,2,10000000.00
2006,STATE,28,2,1372000.00
2006,STATE,29,2,690000.00
2006,STATE,30,2,10428000.00
2006,STATE,31,2,3431000.00
2006,STATE,32,2,333000.00
2006,STATE,34,2,324000.00
2006,STATE,35,2,336000.00
2006,STATE,36,2,3712000.00
2006,STATE,37,2,500000.00
2006,STATE,38,2,25900000.00
2006,STATE,39,2,784000.00
2006,STATE,41,2,2208000.00
2006,STATE,,2,672000.00
2006,STATE,42,2,1120000.00
2006,STATE,46,2,10575000.00
2006,STATE,47,2,385000.00
2006,STATE,48,2,5740000.00
2006,STATE,49,2,1300000.00
2006,STATE,50,2,336000.00
2006,STATE,51,2,336000.00
2006,STATE,53,2,2548000.00
2006,STATE,54,2,252000.00
2006,STATE,55,2,5952000.00
2006,STATE,56,2,3315000.00
2005,STATE,1,2,858000.00
2005,STATE,4,2,1800000.00
2005,STATE,5,2,2484000.00
2005,STATE,6,2,30000000.00
2005,STATE,8,2,1960000.00
2005,STATE,12,2,13760000.00
2005,STATE,13,2,2891000.00
2005,STATE,15,2,1179000.00
2005,STATE,16,2,3515000.00
2005,STATE,17,2,680000.00
2005,STATE,18,2,512000.00
2005,STATE,19,2,2464000.00
2005,STATE,20,2,800000.00
2005,STATE,21,2,250000.00
2005,STATE,22,2,3395000.00
2005,STATE,23,2,208000.00
2005,STATE,26,2,4420000.00
2005,STATE,27,2,8880000.00
2005,STATE,28,2,1280000.00
2005,STATE,29,2,750000.00
2005,STATE,30,2,8710000.00
2005,STATE,31,2,2720000.00
2005,STATE,32,2,552000.00
2005,STATE,34,2,384000.00
2005,STATE,35,2,343000.00
2005,STATE,36,2,4307000.00
2005,STATE,37,2,540000.00
2005,STATE,38,2,33670000.00
2005,STATE,39,2,1035000.00
2005,STATE,41,2,1638000.00
2005,STATE,,2,645000.00
2005,STATE,42,2,1568000.00
2005,STATE,46,2,17380000.00
2005,STATE,47,2,385000.00
2005,STATE,48,2,5964000.00
2005,STATE,49,2,1080000.00
2005,STATE,50,2,546000.00
2005,STATE,51,2,296000.00
2005,STATE,53,2,2805000.00
2005,STATE,54,2,408000.00
2005,STATE,55,2,5312000.00
2005,STATE,56,2,2240000.00
2004,STATE,1,2,1044000.00
2004,STATE,4,2,1760000.00
2004,STATE,5,2,2280000.00
2004,STATE,6,2,17550000.00
2004,STATE,8,2,1840000.00
2004,STATE,12,2,20090000.00
2004,STATE,13,2,3087000.00
2004,STATE,15,2,768000.00
2004,STATE,16,2,6300000.00
2004,STATE,17,2,385000.00
2004,STATE,18,2,413000.00
2004,STATE,19,2,2345000.00
2004,STATE,20,2,1120000.00
2004,STATE,21,2,280000.00
2004,STATE,22,2,3430000.00
2004,STATE,23,2,217000.00
2004,STATE,26,2,4355000.00
2004,STATE,27,2,10125000.00
2004,STATE,28,2,1170000.00
2004,STATE,29,2,656000.00
2004,STATE,30,2,10780000.00
2004,STATE,31,2,4539000.00
2004,STATE,32,2,770000.00
2004,STATE,34,2,324000.00
2004,STATE,35,2,352000.00
2004,STATE,36,2,4288000.00
2004,STATE,37,2,360000.00
2004,STATE,38,2,30420000.00
2004,STATE,39,2,928000.00
2004,STATE,41,2,2268000.00
2004,STATE,,2,765000.00
2004,STATE,42,2,1620000.00
2004,STATE,46,2,22575000.00
2004,STATE,47,2,324000.00
2004,STATE,48,2,8816000.00
2004,STATE,49,2,1680000.00
2004,STATE,50,2,408000.00
2004,STATE,51,2,266000.00
2004,STATE,53,2,3528000.00
2004,STATE,54,2,495000.00
2004,STATE,55,2,5848000.00
2004,STATE,56,2,2925000.00
2003,STATE,1,2,1066000.00
2003,STATE,4,2,2520000.00
2003,STATE,5,2,3000000.00
2003,STATE,6,2,32160000.00
2003,STATE,8,2,2064000.00
2003,STATE,12,2,14910000.00
2003,STATE,13,2,3380000.00
2003,STATE,15,2,798000.00
2003,STATE,16,2,4600000.00
2003,STATE,17,2,420000.00
2003,STATE,18,2,280000.00
2003,STATE,19,2,1888000.00
2003,STATE,20,2,912000.00
2003,STATE,21,2,240000.00
2003,STATE,22,2,3060000.00
2003,STATE,23,2,264000.00
2003,STATE,24,2,84000.00
2003,STATE,26,2,4810000.00
2003,STATE,27,2,9960000.00
2003,STATE,28,2,1449000.00
2003,STATE,29,2,901000.00
2003,STATE,30,2,9570000.00
2003,STATE,31,2,3330000.00
2003,STATE,32,2,384000.00
2003,STATE,34,2,190000.00
2003,STATE,35,2,246000.00
2003,STATE,36,2,4824000.00
2003,STATE,37,2,440000.00
2003,STATE,38,2,29580000.00
2003,STATE,39,2,750000.00
2003,STATE,40,2,141000.00
2003,STATE,41,2,2142000.00
2003,STATE,,2,352000.00
2003,STATE,42,2,1350000.00
2003,STATE,45,2,280000.00
2003,STATE,46,2,15050000.00
2003,STATE,47,2,240000.00
2003,STATE,48,2,9380000.00
2003,STATE,49,2,1425000.00
2003,STATE,50,2,581000.00
2003,STATE,51,2,222000.00
2003,STATE,53,2,3248000.00
2003,STATE,54,2,376000.00
2003,STATE,55,2,5698000.00
2003,STATE,56,2,3159000.00
2002,STATE,1,2,1032000.00
2002,STATE,4,2,2394000.00
2002,STATE,5,2,3960000.00
2002,STATE,6,2,23500000.00
2002,STATE,8,2,1440000.00
